"","x"
"1",85.1900368611912
"2",98.1046867327949
"3",75.4591459541217
"4",3.53034815974977
"5",98.4935660752878
"6",78.1449434574061
"7",83.976156582116
"8",84.8959871256724
"9",97.4898766678489
"10",77.6403891604699
"11",3.5462260237622
"12",98.1411414892129
"13",77.294089373793
"14",84.4571674221071
"15",84.9952207158198
"16",100.009740098808
"17",76.3168339427645
"18",3.63493650054404
"19",97.7961092142371
"20",78.4832235411702
"21",84.440835386083
"22",85.0088120924007
"23",98.9517795248301
"24",76.4920015436135
"25",3.59000823019142
"26",98.0303740349322
"27",78.0987859843394
"28",84.3500123147386
"29",84.9821067991405
"30",98.9328295205491
"31",76.6807290334542
