"","x"
"1",10289833.740343
"2",8563985.75960653
"3",7219117.95136852
"4",5965610.30374277
"5",6058540.38511174
"6",8268174.29807604
"7",9456844.59117782
"8",10008038.3287121
"9",8483496.58186148
"10",5875411.00397799
"11",6153407.73229611
"12",8433133.55623612
