"","x"
"1",73.9558174221239
"2",71.5778617767894
"3",11.9728953495591
"4",1.42526059714992
"5",102.447073811626
"6",97.5761020083242
"7",68.8594911531268
"8",70.9241850570233
"9",75.5872135867743
"10",11.7669009695999
"11",1.57900252219736
"12",103.827735697366
"13",95.1192466472529
"14",72.8869356012386
"15",70.3788006146715
"16",76.3593425025088
"17",11.7134968332395
"18",1.59213045013827
"19",103.838186351516
"20",95.0169004975162
"21",74.3052687008797
"22",71.2275906641709
"23",75.2075843910639
"24",11.7805654942398
"25",1.5574370321942
"26",103.588377901244
"27",95.5095628733964
"28",72.7789167220859
"29",70.8360634477325
"30",75.7331999677367
"31",11.7514487790373
