Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,4,ModelEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,446
Scenario1,5,ModelEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,479
Scenario1,1,Server,Server1,[Object],Costs,CapitalCost,Total,0
Scenario1,2,Server,Server1,[Object],Costs,CapitalCost,Total,0
Scenario1,3,Server,Server1,[Object],Costs,CapitalCost,Total,0
Scenario1,4,Server,Server1,[Object],Costs,CapitalCost,Total,0
Scenario1,5,Server,Server1,[Object],Costs,CapitalCost,Total,0
Scenario1,1,Server,Server1,[Object],Costs,TotalCost,Total,0
Scenario1,2,Server,Server1,[Object],Costs,TotalCost,Total,0
Scenario1,3,Server,Server1,[Object],Costs,TotalCost,Total,0
Scenario1,4,Server,Server1,[Object],Costs,TotalCost,Total,0
Scenario1,5,Server,Server1,[Object],Costs,TotalCost,Total,0
Scenario1,1,Server,Server1,[Resource],Capacity,ScheduledUtilization,Percent,83.033339541921
Scenario1,2,Server,Server1,[Resource],Capacity,ScheduledUtilization,Percent,76.3323140499084
Scenario1,3,Server,Server1,[Resource],Capacity,ScheduledUtilization,Percent,78.898059361883
Scenario1,4,Server,Server1,[Resource],Capacity,ScheduledUtilization,Percent,76.8884596233576
Scenario1,5,Server,Server1,[Resource],Capacity,ScheduledUtilization,Percent,78.5173797157187
Scenario1,1,Server,Server1,[Resource],Capacity,UnitsAllocated,Total,470
Scenario1,2,Server,Server1,[Resource],Capacity,UnitsAllocated,Total,469
Scenario1,3,Server,Server1,[Resource],Capacity,UnitsAllocated,Total,460
Scenario1,4,Server,Server1,[Resource],Capacity,UnitsAllocated,Total,447
Scenario1,5,Server,Server1,[Resource],Capacity,UnitsAllocated,Total,480
Scenario1,1,Server,Server1,[Resource],Capacity,UnitsScheduled,Average,1
Scenario1,2,Server,Server1,[Resource],Capacity,UnitsScheduled,Average,1
Scenario1,3,Server,Server1,[Resource],Capacity,UnitsScheduled,Average,1
Scenario1,4,Server,Server1,[Resource],Capacity,UnitsScheduled,Average,1
Scenario1,5,Server,Server1,[Resource],Capacity,UnitsScheduled,Average,1
Scenario1,1,Server,Server1,[Resource],Capacity,UnitsScheduled,Maximum,1
Scenario1,2,Server,Server1,[Resource],Capacity,UnitsScheduled,Maximum,1
Scenario1,3,Server,Server1,[Resource],Capacity,UnitsScheduled,Maximum,1
Scenario1,4,Server,Server1,[Resource],Capacity,UnitsScheduled,Maximum,1
Scenario1,5,Server,Server1,[Resource],Capacity,UnitsScheduled,Maximum,1
Scenario1,1,Server,Server1,[Resource],Capacity,UnitsScheduled,Minimum,1
Scenario1,2,Server,Server1,[Resource],Capacity,UnitsScheduled,Minimum,1
Scenario1,3,Server,Server1,[Resource],Capacity,UnitsScheduled,Minimum,1
Scenario1,4,Server,Server1,[Resource],Capacity,UnitsScheduled,Minimum,1
Scenario1,5,Server,Server1,[Resource],Capacity,UnitsScheduled,Minimum,1
Scenario1,1,Server,Server1,[Resource],Capacity,UnitsUtilized,Average,0.830333395419209
Scenario1,2,Server,Server1,[Resource],Capacity,UnitsUtilized,Average,0.763323140499084
Scenario1,3,Server,Server1,[Resource],Capacity,UnitsUtilized,Average,0.78898059361883
Scenario1,4,Server,Server1,[Resource],Capacity,UnitsUtilized,Average,0.768884596233576
Scenario1,5,Server,Server1,[Resource],Capacity,UnitsUtilized,Average,0.785173797157187
Scenario1,1,Server,Server1,[Resource],Capacity,UnitsUtilized,Maximum,1
Scenario1,2,Server,Server1,[Resource],Capacity,UnitsUtilized,Maximum,1
Scenario1,3,Server,Server1,[Resource],Capacity,UnitsUtilized,Maximum,1
Scenario1,4,Server,Server1,[Resource],Capacity,UnitsUtilized,Maximum,1
Scenario1,5,Server,Server1,[Resource],Capacity,UnitsUtilized,Maximum,1
Scenario1,1,Server,Server1,[Resource],Capacity,UnitsUtilized,Minimum,0
Scenario1,2,Server,Server1,[Resource],Capacity,UnitsUtilized,Minimum,0
Scenario1,3,Server,Server1,[Resource],Capacity,UnitsUtilized,Minimum,0
Scenario1,4,Server,Server1,[Resource],Capacity,UnitsUtilized,Minimum,0
Scenario1,5,Server,Server1,[Resource],Capacity,UnitsUtilized,Minimum,0
Scenario1,1,Server,Server1,[Resource],Costs,IdleCost,Total,0
Scenario1,2,Server,Server1,[Resource],Costs,IdleCost,Total,0
Scenario1,3,Server,Server1,[Resource],Costs,IdleCost,Total,0
Scenario1,4,Server,Server1,[Resource],Costs,IdleCost,Total,0
Scenario1,5,Server,Server1,[Resource],Costs,IdleCost,Total,0
Scenario1,1,Server,Server1,[Resource],Costs,UsageCostCharged,Total,0
Scenario1,2,Server,Server1,[Resource],Costs,UsageCostCharged,Total,0
Scenario1,3,Server,Server1,[Resource],Costs,UsageCostCharged,Total,0
Scenario1,4,Server,Server1,[Resource],Costs,UsageCostCharged,Total,0
Scenario1,5,Server,Server1,[Resource],Costs,UsageCostCharged,Total,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeBlocked,Average,NaN
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeBlocked,Average,NaN
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeBlocked,Average,NaN
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeBlocked,Average,NaN
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeBlocked,Average,NaN
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeBlocked,Occurrences,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeBlocked,Occurrences,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeBlocked,Occurrences,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeBlocked,Occurrences,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeBlocked,Occurrences,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeBlocked,Percent,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeBlocked,Percent,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeBlocked,Percent,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeBlocked,Percent,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeBlocked,Percent,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeBlocked,Total,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeBlocked,Total,0
