playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
184,null,Donnie Avery,WR,FA,WR,FA,null,0,null,null,null,187,null,null,0,null,null,null,0,0,null,null
206,null,Andre Caldwell,WR,DET,WR,DET,null,0.0731,null,null,null,182,null,null,0.0054,null,null,null,0.1446,0,3.3102,null
216,null,Fred Davis,TE,FA,TE,FA,null,0,null,null,null,102,null,null,0,null,null,null,0,0,null,null
222,null,Harry Douglas,WR,TEN,WR,TEN,null,1.9479,null,null,null,126,null,null,0.0334,null,null,null,3.6115,0.6,5.9753,null
230,null,Jerome Felton,RB,BUF,RB,BUF,null,0.5847,null,null,null,103,null,null,0.0522,null,null,null,1.0742,0,3.5046,null
234,null,Matt Forte,RB,NYJ,RB,NYJ,null,14.7973,null,null,null,16,null,null,0.6689,null,null,null,16.6273,12.6,7.305,null
252,null,Chad Henne,QB,JAC,QB,JAC,null,0.0308,null,null,null,64,null,null,0.0116,null,null,null,0.093,-0.08,3.6169,null
262,null,Chris Johnson,RB,ARI,RB,ARI,null,0,null,null,null,126,null,null,0,null,null,null,0,0,3.2384,null
264,null,Josh Johnson,QB,NYG,QB,NYG,null,0,null,null,null,68,null,null,0,null,null,null,0,0,3.4184,null
284,null,Darren McFadden,RB,DAL,RB,DAL,null,0,null,null,null,126,null,null,0,null,null,null,0,0,3.2384,null
310,null,Matt Ryan,QB,ATL,QB,ATL,null,17.1748,null,null,null,13,null,null,0.3124,null,null,null,18.292,15.34,5.8634,null
318,null,Jerome Simpson,WR,FA,WR,FA,null,0,null,null,null,187,null,null,0,null,null,null,0,0,3.0976,null
324,null,Jacob Tamme,TE,ATL,TE,ATL,null,0,null,null,null,102,null,null,0,null,null,null,0,0,null,null
367,null,Matt Flynn,QB,NO,QB,NO,null,0,null,null,null,68,null,null,0,null,null,null,0,0,3.4184,null
382,null,Joe Flacco,QB,BAL,QB,BAL,null,15.2116,null,null,null,23,null,null,0.4157,null,null,null,16.5297,13.5,6.2106,null
768,null,Steve Johnson,WR,SD,WR,SD,null,0,null,null,null,187,null,null,0,null,null,null,0,0,3.0976,null
925,null,Jamaal Charles,RB,KC,RB,KC,null,0,null,null,null,126,null,null,0,null,null,null,0,0,3.2384,null
927,null,Justin Forsett,RB,DET,RB,DET,null,1.0245,null,null,null,96,null,null,0.1079,null,null,null,1.7334,0,5.2852,null
949,null,Jonathan Stewart,RB,CAR,RB,CAR,null,10.4525,null,null,null,32,null,null,0.0538,null,null,null,11.6677,6.8727,6.3356,null
1032,null,Jordy Nelson,WR,GB,WR,GB,null,17.1022,null,null,null,7,null,null,0.4887,null,null,null,18.9962,13.3855,5.191,null
1060,null,Gary Barnidge,TE,CLE,TE,CLE,null,8.6399,null,null,null,19,null,null,0.7666,null,null,null,11.229,6.5,6.0274,null
1062,null,Martellus Bennett,TE,NE,TE,NE,null,9.1632,null,null,null,17,null,null,0.329,null,null,null,11.7245,5.2686,10.4634,null
1581,null,DeSean Jackson,WR,WAS,WR,WAS,null,12.1819,null,null,null,36,null,null,0.5905,null,null,null,14.615,8.372,8.8389,null
1966,null,John Carlson,TE,FA,TE,FA,null,0,null,null,null,102,null,null,0,null,null,null,0,0,null,null
1990,null,Eddie Royal,WR,CHI,WR,CHI,null,9.2916,null,null,null,55,null,null,0.0886,null,null,null,10.2336,7.4921,5.3542,null
1992,null,Craig Stevens,TE,FA,TE,FA,null,0,null,null,null,102,null,null,0,null,null,null,0,0,null,null
2346,null,Pierre Garcon,WR,WAS,WR,WAS,null,11.1595,null,null,null,41,null,null,0.0681,null,null,null,12.6409,8.4627,5.4062,null
2649,null,Danny Amendola,WR,NE,WR,NE,null,6.4735,null,null,null,90,null,null,0.1087,null,null,null,7.1123,4.993,5.2366,null
4231,null,Jed Collins,RB,FA,RB,FA,null,0,null,null,null,126,null,null,0,null,null,null,0,0,null,null
4327,null,Danny Woodhead,RB,SD,RB,SD,null,0,null,null,null,126,null,null,0,null,null,null,0,0,null,null
4383,null,Tim Hightower,RB,NO,RB,NO,null,10.7041,null,null,null,30,null,null,0.1362,null,null,null,12.733,7.9128,7.1863,null
4433,null,Marcel Reece,RB,FA,RB,FA,null,0,null,null,null,126,null,null,0,null,null,null,0,0,3.2384,null
4487,null,Matthew Slater,WR,NE,WR,NE,null,0,null,null,null,187,null,null,0,null,null,null,0,0,3.0976,null
71217,null,Kenny Britt,WR,LA,WR,LA,null,11.632,null,null,null,37,null,null,0.1264,null,null,null,12.4697,9.6737,5.4393,null
71247,null,James Casey,TE,FA,TE,FA,null,0,null,null,null,102,null,null,0,null,null,null,0,0,null,null
71255,null,Chase Coffman,TE,IND,TE,IND,null,0,null,null,null,102,null,null,0,null,null,null,0,0,3.0849,null
