playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
184,null,Donnie Avery,WR,FA,WR,FA,null,0,null,null,null,178,null,null,0,null,null,null,0,0,null,null
206,null,Andre Caldwell,WR,DET,WR,DET,null,0,null,null,null,178,null,null,0,null,null,null,0,0,null,null
216,null,Fred Davis,TE,FA,TE,FA,null,0,null,null,null,94,null,null,0,null,null,null,0,0,null,null
230,null,Jerome Felton,RB,BUF,RB,BUF,null,0.9004,null,null,null,95,null,null,0.1628,null,null,null,1.1818,0.3,4.4451,null
234,null,Matt Forte,RB,NYJ,RB,NYJ,null,16.2336,null,null,null,7,null,null,0.4968,null,null,null,18.0165,11.517,null,null
252,null,Chad Henne,QB,JAC,QB,JAC,null,0.0434,null,null,null,61,null,null,0.0007,null,null,null,0.1743,-0.09,3.4182,null
262,null,Chris Johnson,RB,ARI,RB,ARI,null,0,null,null,null,122,null,null,0,null,null,null,0,0,null,null
264,null,Josh Johnson,QB,NYG,QB,NYG,null,0,null,null,null,69,null,null,0,null,null,null,0,0,3.0696,null
284,null,Darren McFadden,RB,DAL,RB,DAL,null,5.07,null,null,null,50,null,null,0.1564,null,null,null,4.2535,1,null,null
310,null,Matt Ryan,QB,ATL,QB,ATL,null,18.9435,null,null,null,7,null,null,0.0517,null,null,null,20.8725,15.72,6.0774,null
318,null,Jerome Simpson,WR,FA,WR,FA,null,0,null,null,null,178,null,null,0,null,null,null,0,0,null,null
367,null,Matt Flynn,QB,NO,QB,NO,null,0.01,null,null,null,67,null,null,0.0061,null,null,null,0.008,0,3.0844,null
382,null,Joe Flacco,QB,BAL,QB,BAL,null,14.8565,null,null,null,26,null,null,0.4442,null,null,null,15.9366,13.618,5.2785,null
768,null,Steve Johnson,WR,SD,WR,SD,null,0,null,null,null,178,null,null,0,null,null,null,0,0,null,null
925,null,Jamaal Charles,RB,KC,RB,KC,null,0,null,null,null,122,null,null,0,null,null,null,0,0,null,null
927,null,Justin Forsett,RB,DET,RB,DET,null,1.4563,null,null,null,86,null,null,0.1097,null,null,null,1.599,0.4949,null,null
949,null,Jonathan Stewart,RB,CAR,RB,CAR,null,9.3443,null,null,null,35,null,null,0.978,null,null,null,11.4615,5.9,null,null
1032,null,Jordy Nelson,WR,GB,WR,GB,null,17.7598,null,null,null,7,null,null,0.6817,null,null,null,20.4476,12.7689,2.3997,null
1062,null,Martellus Bennett,TE,NE,TE,NE,null,10.4791,null,null,null,12,null,null,0.772,null,null,null,12.6056,7.1551,null,null
1581,null,DeSean Jackson,WR,WAS,WR,WAS,null,10.683,null,null,null,41,null,null,0.0581,null,null,null,12.6116,9.055,null,null
1966,null,John Carlson,TE,FA,TE,FA,null,0,null,null,null,94,null,null,0,null,null,null,0,0,null,null
1990,null,Eddie Royal,WR,CHI,WR,CHI,null,6.811,null,null,null,82,null,null,0.1396,null,null,null,8.9129,2.68,null,null
2346,null,Pierre Garcon,WR,WAS,WR,WAS,null,11.3876,null,null,null,37,null,null,0.2942,null,null,null,13.7628,9.35,4.4825,null
2649,null,Danny Amendola,WR,NE,WR,NE,null,6.1611,null,null,null,88,null,null,0.4652,null,null,null,8.6994,3.7,7.668,null
4231,null,Jed Collins,RB,FA,RB,FA,null,0,null,null,null,122,null,null,0,null,null,null,0,0,null,null
4383,null,Tim Hightower,RB,NO,RB,NO,null,10.3749,null,null,null,28,null,null,0.2612,null,null,null,11.5068,8.6907,5.5916,null
4433,null,Marcel Reece,RB,FA,RB,FA,null,0,null,null,null,122,null,null,0,null,null,null,0,0,null,null
4487,null,Matthew Slater,WR,NE,WR,NE,null,0,null,null,null,178,null,null,0,null,null,null,0,0,null,null
71217,null,Kenny Britt,WR,LA,WR,LA,null,13.0363,null,null,null,33,null,null,0.6297,null,null,null,14.5488,10.293,5.4014,null
71247,null,James Casey,TE,FA,TE,FA,null,0,null,null,null,94,null,null,0,null,null,null,0,0,null,null
71255,null,Chase Coffman,TE,IND,TE,IND,null,0,null,null,null,94,null,null,0,null,null,null,0,0,null,null
71265,null,Jared Cook,TE,GB,TE,GB,null,7.4763,null,null,null,23,null,null,0.3986,null,null,null,8.0039,6.02,4.263,null
71269,null,Michael Crabtree,WR,OAK,WR,OAK,null,15.1352,null,null,null,21,null,null,0.5157,null,null,null,17.3501,10.877,null,null
71345,null,Rashad Jennings,RB,NYG,RB,NYG,null,12.8048,null,null,null,22,null,null,0.505,null,null,null,14.5159,8.62,4.7318,null
71417,null,Jordan Norwood,WR,DEN,WR,DEN,null,3.8278,null,null,null,107,null,null,0.2169,null,null,null,4.0352,2.91,4.4212,null
71431,null,Brandon Pettigrew,TE,DET,TE,DET,null,0.64,null,null,null,78,null,null,0.0736,null,null,null,0.5718,0.3,null,null
71435,null,John Phillips,TE,NO,TE,NO,null,0.9033,null,null,null,67,null,null,0.0125,null,null,null,1.127,0.32,null,null
79555,null,Arian Foster,RB,FA,RB,FA,null,0,null,null,null,122,null,null,0,null,null,null,0,0,null,null
79557,null,Josh Freeman,QB,FA,QB,FA,null,0,null,null,null,69,null,null,0,null,null,null,0,0,null,null
79563,null,Shonn Greene,RB,FA,RB,FA,null,0,null,null,null,122,null,null,0,null,null,null,0,0,null,null
79589,null,David Johnson,TE,PIT,TE,PIT,null,0.6808,null,null,null,73,null,null,0.0066,null,null,null,0.8849,0.42,null,null
79607,null,LeSean McCoy,RB,BUF,RB,BUF,null,18.108,null,null,null,6,null,null,2.0266,null,null,null,20.1945,15.53,1.7701,null
