playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
184,null,Donnie Avery,WR,FA,WR,FA,null,0,null,null,null,156,null,null,0,null,null,null,0,0,null,null
206,null,Andre Caldwell,WR,DET,WR,DET,null,0.2929,null,null,null,147,null,null,0.011,null,null,null,0.5694,0,3.9016,null
216,null,Fred Davis,TE,FA,TE,FA,null,0,null,null,null,82,null,null,0,null,null,null,0,0,null,null
222,null,Harry Douglas,WR,TEN,WR,TEN,null,2.2687,null,null,null,102,null,null,0.0741,null,null,null,3.066,0,7.0459,null
230,null,Jerome Felton,RB,BUF,RB,BUF,null,0.4306,null,null,null,90,null,null,0.1198,null,null,null,0.6952,0,4.0024,null
234,null,Matt Forte,RB,NYJ,RB,NYJ,null,16.7504,null,null,null,8,null,null,0.7365,null,null,null,18.8325,11.6339,9.0131,null
252,null,Chad Henne,QB,JAC,QB,JAC,null,0.0721,null,null,null,54,null,null,0.0179,null,null,null,0.0909,0.04,3.7841,null
264,null,Josh Johnson,QB,NYG,QB,NYG,null,0,null,null,null,59,null,null,0,null,null,null,0,0,3.7288,null
284,null,Darren McFadden,RB,DAL,RB,DAL,null,0,null,null,null,102,null,null,0,null,null,null,0,0,3.4129,null
310,null,Matt Ryan,QB,ATL,QB,ATL,null,19.9306,null,null,null,4,null,null,0.5865,null,null,null,21.8121,15.46,5.3376,null
318,null,Jerome Simpson,WR,FA,WR,FA,null,0,null,null,null,156,null,null,0,null,null,null,0,0,3.1204,null
324,null,Jacob Tamme,TE,ATL,TE,ATL,null,0,null,null,null,82,null,null,0,null,null,null,0,0,null,null
367,null,Matt Flynn,QB,NO,QB,NO,null,0.0045,null,null,null,58,null,null,0.0045,null,null,null,0.0068,0,3.7392,null
382,null,Joe Flacco,QB,BAL,QB,BAL,null,16.9038,null,null,null,11,null,null,0.0853,null,null,null,18.3021,15.764,6.587,null
768,null,Steve Johnson,WR,SD,WR,SD,null,0,null,null,null,156,null,null,0,null,null,null,0,0,3.1204,null
925,null,Jamaal Charles,RB,KC,RB,KC,null,0,null,null,null,102,null,null,0,null,null,null,0,0,3.4129,null
927,null,Justin Forsett,RB,DET,RB,DET,null,1.9082,null,null,null,73,null,null,0.057,null,null,null,3.3522,0.1679,7.1341,null
941,null,Ray Rice,RB,FA,RB,FA,null,0,null,null,null,102,null,null,0,null,null,null,0,0,3.4129,null
949,null,Jonathan Stewart,RB,CAR,RB,CAR,null,12.0779,null,null,null,17,null,null,0.0832,null,null,null,13.43,8.2823,8.2288,null
1032,null,Jordy Nelson,WR,GB,WR,GB,null,17.3334,null,null,null,8,null,null,1.0573,null,null,null,18.4973,14.57,5.1874,null
1060,null,Gary Barnidge,TE,CLE,TE,CLE,null,10.8674,null,null,null,10,null,null,1.2704,null,null,null,12.068,9.27,4.2229,null
1966,null,John Carlson,TE,FA,TE,FA,null,0,null,null,null,82,null,null,0,null,null,null,0,0,null,null
1992,null,Craig Stevens,TE,FA,TE,FA,null,0,null,null,null,82,null,null,0,null,null,null,0,0,null,null
