playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
184,null,Donnie Avery,WR,FA,WR,FA,null,0,null,null,null,185,null,null,0,null,null,null,0,0,null,null
206,null,Andre Caldwell,WR,DET,WR,DET,null,0.3693,null,null,null,166,null,null,0.0143,null,null,null,0.7255,0,null,null
216,null,Fred Davis,TE,FA,TE,FA,null,0,null,null,null,105,null,null,0,null,null,null,0,0,null,null
222,null,Harry Douglas,WR,TEN,WR,TEN,null,4.2145,null,null,null,99,null,null,0.0453,null,null,null,5.813,2.37,5.432,null
230,null,Jerome Felton,RB,FA,RB,FA,null,0.1656,null,null,null,129,null,null,0.0168,null,null,null,0.2488,0,null,null
234,null,Matt Forte,RB,NYJ,RB,NYJ,null,14.5402,null,null,null,13,null,null,0.3957,null,null,null,15.959,12.039,3.778,null
252,null,Chad Henne,QB,JAC,QB,JAC,null,0.193,null,null,null,58,null,null,0.0192,null,null,null,0.2732,0.07,3.9961,null
262,null,Chris Johnson,RB,ARI,RB,ARI,null,5.2931,null,null,null,56,null,null,0.2218,null,null,null,7.5461,2.63,3.8731,null
264,null,Josh Johnson,QB,NYG,QB,NYG,null,0,null,null,null,75,null,null,0,null,null,null,0,0,3.8556,null
284,null,Darren McFadden,RB,DAL,RB,DAL,null,2.1663,null,null,null,87,null,null,0.2615,null,null,null,3.7364,0,null,null
310,null,Matt Ryan,QB,ATL,QB,ATL,null,15.9237,null,null,null,22,null,null,0.6253,null,null,null,17.1017,14.6,6.0286,null
318,null,Jerome Simpson,WR,FA,WR,FA,null,0,null,null,null,185,null,null,0,null,null,null,0,0,null,null
324,null,Jacob Tamme,TE,ATL,TE,ATL,null,7.0685,null,null,null,22,null,null,0.124,null,null,null,8.0998,6.17,5.015,null
367,null,Matt Flynn,QB,NO,QB,NO,null,0.0045,null,null,null,72,null,null,0.003,null,null,null,0.0068,0,3.8627,null
382,null,Joe Flacco,QB,BAL,QB,BAL,null,17.5412,null,null,null,14,null,null,0.4611,null,null,null,18.0585,15.856,6.7536,null
768,null,Steve Johnson,WR,SD,WR,SD,null,0,null,null,null,185,null,null,0,null,null,null,0,0,null,null
925,null,Jamaal Charles,RB,KC,RB,KC,null,0,null,null,null,139,null,null,0,null,null,null,0,0,null,null
927,null,Justin Forsett,RB,BAL,RB,BAL,null,11.2694,null,null,null,27,null,null,0.0445,null,null,null,12.3998,9.41,4.7286,null
941,null,Ray Rice,RB,FA,RB,FA,null,0,null,null,null,139,null,null,0,null,null,null,0,0,null,null
949,null,Jonathan Stewart,RB,CAR,RB,CAR,null,11.8423,null,null,null,24,null,null,0.1735,null,null,null,13.6405,8.27,null,null
1032,null,Jordy Nelson,WR,GB,WR,GB,null,16.2088,null,null,null,9,null,null,0.2869,null,null,null,17.6781,14.34,3.6,null
1060,null,Gary Barnidge,TE,CLE,TE,CLE,null,12.5563,null,null,null,3,null,null,0.2095,null,null,null,14.924,10.18,3.371,null
1062,null,Martellus Bennett,TE,NE,TE,NE,null,9.5667,null,null,null,11,null,null,0.7686,null,null,null,11.8639,7.2441,4.8323,null
1581,null,DeSean Jackson,WR,WAS,WR,WAS,null,12.3274,null,null,null,34,null,null,0.3216,null,null,null,13.2007,9.3001,5.0656,null
1966,null,John Carlson,TE,FA,TE,FA,null,0,null,null,null,105,null,null,0,null,null,null,0,0,null,null
1990,null,Eddie Royal,WR,CHI,WR,CHI,null,7.9843,null,null,null,68,null,null,0.1053,null,null,null,10.4548,4.72,6.7144,null
1992,null,Craig Stevens,TE,FA,TE,FA,null,0,null,null,null,105,null,null,0,null,null,null,0,0,null,null
2346,null,Pierre Garcon,WR,WAS,WR,WAS,null,9.6485,null,null,null,48,null,null,0.0769,null,null,null,10.6138,8.21,4.2717,null
2649,null,Danny Amendola,WR,NE,WR,NE,null,4.9825,null,null,null,90,null,null,0.0505,null,null,null,6.6019,0.94,5.9205,null
4231,null,Jed Collins,RB,FA,RB,FA,null,0,null,null,null,139,null,null,0,null,null,null,0,0,null,null
4327,null,Danny Woodhead,RB,SD,RB,SD,null,15.6522,null,null,null,4,null,null,0.3373,null,null,null,19.8773,10.14,4.3959,null
4383,null,Tim Hightower,RB,NO,RB,NO,null,6.0174,null,null,null,51,null,null,0.3329,null,null,null,6.8121,4.71,5.0613,null
