playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
184,null,Donnie Avery,WR,FA,WR,FA,null,0,null,null,null,180,null,null,0,null,null,null,0,0,null,null
206,null,Andre Caldwell,WR,DET,WR,DET,null,0.3693,null,null,null,165,null,null,0.0699,null,null,null,0.7255,0,4.2619,null
216,null,Fred Davis,TE,FA,TE,FA,null,0,null,null,null,102,null,null,0,null,null,null,0,0,null,null
222,null,Harry Douglas,WR,TEN,WR,TEN,null,2.5057,null,null,null,115,null,null,0.0077,null,null,null,3.9655,0.4179,6.5404,null
230,null,Jerome Felton,RB,FA,RB,FA,null,0.1349,null,null,null,132,null,null,0.0659,null,null,null,0.2176,0,null,null
234,null,Matt Forte,RB,NYJ,RB,NYJ,null,17.42,null,null,null,3,null,null,1.299,null,null,null,21.2143,12.61,null,null
252,null,Chad Henne,QB,JAC,QB,JAC,null,0.208,null,null,null,56,null,null,0.0353,null,null,null,0.354,0.066,3.8948,null
262,null,Chris Johnson,RB,ARI,RB,ARI,null,4.428,null,null,null,69,null,null,0.1499,null,null,null,5.7029,2.7369,3.9753,null
264,null,Josh Johnson,QB,NYG,QB,NYG,null,0,null,null,null,75,null,null,0,null,null,null,0,0,3.7081,null
284,null,Darren McFadden,RB,DAL,RB,DAL,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
310,null,Matt Ryan,QB,ATL,QB,ATL,null,18.761,null,null,null,9,null,null,0.6026,null,null,null,20.3147,17.272,4.7693,null
318,null,Jerome Simpson,WR,FA,WR,FA,null,0,null,null,null,180,null,null,0,null,null,null,0,0,3.2996,null
324,null,Jacob Tamme,TE,ATL,TE,ATL,null,9.2203,null,null,null,11,null,null,0.1032,null,null,null,10.6547,6.17,4.2036,null
367,null,Matt Flynn,QB,NO,QB,NO,null,0.0045,null,null,null,72,null,null,0.002,null,null,null,0.0068,0,3.7149,null
382,null,Joe Flacco,QB,BAL,QB,BAL,null,16.6687,null,null,null,21,null,null,1.5135,null,null,null,17.0474,15.656,5.2093,null
768,null,Steve Johnson,WR,SD,WR,SD,null,0,null,null,null,180,null,null,0,null,null,null,0,0,3.2996,null
925,null,Jamaal Charles,RB,KC,RB,KC,null,10.3167,null,null,null,31,null,null,0.4473,null,null,null,9.1224,8.85,null,null
927,null,Justin Forsett,RB,BAL,RB,BAL,null,12.6261,null,null,null,20,null,null,0.2843,null,null,null,14.8723,9.84,5.8066,null
941,null,Ray Rice,RB,FA,RB,FA,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
949,null,Jonathan Stewart,RB,CAR,RB,CAR,null,5.6981,null,null,null,59,null,null,0.1085,null,null,null,8.9727,0,null,null
1030,null,Mario Manningham,WR,FA,WR,FA,null,0,null,null,null,180,null,null,0,null,null,null,0,0,null,null
1032,null,Jordy Nelson,WR,GB,WR,GB,null,17.2603,null,null,null,5,null,null,0.5993,null,null,null,18.6244,12.6931,5.8071,null
1060,null,Gary Barnidge,TE,CLE,TE,CLE,null,11.3563,null,null,null,7,null,null,0.2425,null,null,null,14.4123,9.22,5.0253,null
1062,null,Martellus Bennett,TE,NE,TE,NE,null,9.0352,null,null,null,15,null,null,0.0506,null,null,null,10.891,7.06,4.4277,null
1581,null,DeSean Jackson,WR,WAS,WR,WAS,null,12.5347,null,null,null,36,null,null,0.5056,null,null,null,13.1478,10.6728,5.1096,null
1966,null,John Carlson,TE,FA,TE,FA,null,0,null,null,null,102,null,null,0,null,null,null,0,0,null,null
1990,null,Eddie Royal,WR,CHI,WR,CHI,null,8.0808,null,null,null,68,null,null,0.1425,null,null,null,9.9502,4.72,7.8345,null
1992,null,Craig Stevens,TE,FA,TE,FA,null,0,null,null,null,102,null,null,0,null,null,null,0,0,null,null
2346,null,Pierre Garcon,WR,WAS,WR,WAS,null,9.8703,null,null,null,50,null,null,0.0729,null,null,null,10.6455,8.3287,4.9776,null
2649,null,Danny Amendola,WR,NE,WR,NE,null,5.3686,null,null,null,94,null,null,0.3309,null,null,null,6.7764,2.1958,6.5403,null
4231,null,Jed Collins,RB,FA,RB,FA,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
4327,null,Danny Woodhead,RB,SD,RB,SD,null,7.6307,null,null,null,44,null,null,0.0933,null,null,null,12.6757,0,null,null
4383,null,Tim Hightower,RB,NO,RB,NO,null,5.6526,null,null,null,60,null,null,0.1404,null,null,null,6.4839,4.4173,4.5536,null
4433,null,Marcel Reece,RB,OAK,RB,OAK,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
4487,null,Matthew Slater,WR,NE,WR,NE,null,0,null,null,null,180,null,null,0,null,null,null,0,0,3.2996,null
71217,null,Kenny Britt,WR,LA,WR,LA,null,9.3841,null,null,null,56,null,null,0.1014,null,null,null,9.934,7.9164,6.1529,null
71247,null,James Casey,TE,FA,TE,FA,null,0,null,null,null,102,null,null,0,null,null,null,0,0,null,null
71255,null,Chase Coffman,TE,IND,TE,IND,null,0,null,null,null,102,null,null,0,null,null,null,0,0,null,null
71265,null,Jared Cook,TE,GB,TE,GB,null,7.6097,null,null,null,23,null,null,0.3278,null,null,null,7.97,6.1361,4.7265,null
71269,null,Michael Crabtree,WR,OAK,WR,OAK,null,13.5423,null,null,null,28,null,null,0.1999,null,null,null,14.062,10.936,4.3081,null
71345,null,Rashad Jennings,RB,NYG,RB,NYG,null,13.4698,null,null,null,17,null,null,0.3637,null,null,null,14.639,11.18,null,null
71417,null,Jordan Norwood,WR,DEN,WR,DEN,null,3.0821,null,null,null,110,null,null,0.1724,null,null,null,3.7765,1.66,5.0609,null
71431,null,Brandon Pettigrew,TE,DET,TE,DET,null,0.9221,null,null,null,74,null,null,0.0716,null,null,null,1.5942,0,null,null
71435,null,John Phillips,TE,DEN,TE,DEN,null,1.9877,null,null,null,61,null,null,0.2208,null,null,null,3.2222,0.39,12.1219,null
79555,null,Arian Foster,RB,MIA,RB,MIA,null,4.4034,null,null,null,70,null,null,0.3369,null,null,null,7.7768,0,null,null
79557,null,Josh Freeman,QB,FA,QB,FA,null,0,null,null,null,75,null,null,0,null,null,null,0,0,3.7081,null
79563,null,Shonn Greene,RB,FA,RB,FA,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
79589,null,David Johnson,TE,PIT,TE,PIT,null,0.7264,null,null,null,79,null,null,0.0504,null,null,null,1.137,0.18,12.9436,null
79607,null,LeSean McCoy,RB,BUF,RB,BUF,null,13.7702,null,null,null,14,null,null,0.2158,null,null,null,15.3975,10.78,2.3368,null
79619,null,Knowshon Moreno,RB,FA,RB,FA,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
79625,null,Bear Pascoe,TE,NE,TE,NE,null,0,null,null,null,102,null,null,0,null,null,null,0,0,null,null
79629,null,Cedric Peerman,RB,CIN,RB,CIN,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
79858,null,Mark Sanchez,QB,DAL,QB,DAL,null,1.2693,null,null,null,42,null,null,0.2492,null,null,null,2.0746,0.204,2.9396,null
79860,null,Matthew Stafford,QB,DET,QB,DET,null,17.7116,null,null,null,14,null,null,0.1649,null,null,null,18.6475,16.19,5.8262,null
80425,null,Percy Harvin,WR,FA,WR,FA,null,0,null,null,null,180,null,null,0,null,null,null,0,0,null,null
80427,null,Darrius Heyward-Bey,WR,PIT,WR,PIT,null,2.0517,null,null,null,124,null,null,0.0943,null,null,null,3.0311,0.49,5.3467,null
80429,null,Jeremy Maclin,WR,KC,WR,KC,null,14.0382,null,null,null,25,null,null,0.3408,null,null,null,15.0008,11.6916,6.119,null
80670,null,Louis Murphy,WR,TB,WR,TB,null,0,null,null,null,180,null,null,0,null,null,null,0,0,3.2996,null
80672,null,Hakeem Nicks,WR,FA,WR,FA,null,0,null,null,null,180,null,null,0,null,null,null,0,0,null,null
80674,null,Chris Ogbonnaya,RB,FA,RB,FA,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
81284,null,Chase Daniel,QB,PHI,QB,PHI,null,0.1126,null,null,null,63,null,null,0.0246,null,null,null,0.2494,-0.01,3.9024,null
81288,null,Brandon Gibson,WR,NE,WR,NE,null,0.2446,null,null,null,170,null,null,0.0181,null,null,null,0.5079,0,3.9266,null
81294,null,Brian Hoyer,QB,CHI,QB,CHI,null,12.1812,null,null,null,29,null,null,1.0405,null,null,null,16.3649,3.866,7.6702,null
81306,null,Brandon Tate,WR,BUF,WR,BUF,null,0.1973,null,null,null,173,null,null,0.0255,null,null,null,0.4514,0,3.7935,null
81831,null,Brian Hartline,WR,FA,WR,FA,null,0,null,null,null,180,null,null,0,null,null,null,0,0,3.2996,null
89766,null,Brandon Myers,TE,TB,TE,TB,null,2.8327,null,null,null,54,null,null,0.0292,null,null,null,4.2031,1.07,6.9675,null
89798,null,Antone Smith,RB,NYJ,RB,NYJ,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
100001,null,Falcons,DST,ATL,DST,ATL,null,4.7694,null,null,null,32,null,null,null,null,null,null,5.5745,3.4,2.4891,null
100002,null,Ravens,DST,BAL,DST,BAL,null,6.7509,null,null,null,21,null,null,0.0713,null,null,null,8.0384,4.5,5.0588,null
100003,null,Bills,DST,BUF,DST,BUF,null,5.7207,null,null,null,30,null,null,0.7128,null,null,null,6.4041,5.1,4.9459,null
100004,null,Panthers,DST,CAR,DST,CAR,null,9.7533,null,null,null,2,null,null,1.1673,null,null,null,10.7294,7.2,4.4092,null
100005,null,Bears,DST,CHI,DST,CHI,null,7.008,null,null,null,16,null,null,0.1131,null,null,null,8.6255,4.8,6.452,null
100006,null,Bengals,DST,CIN,DST,CIN,null,8.2469,null,null,null,6,null,null,0.1693,null,null,null,8.7337,6.4,4.8232,null
100007,null,Browns,DST,CLE,DST,CLE,null,6.282,null,null,null,26,null,null,0.0247,null,null,null,6.595,4.9,4.9595,null
100008,null,Cowboys,DST,DAL,DST,DAL,null,6.3874,null,null,null,25,null,null,0.1082,null,null,null,6.9116,4.6,5.6487,null
100009,null,Broncos,DST,DEN,DST,DEN,null,8.4335,null,null,null,4,null,null,0.1413,null,null,null,8.675,5.2,4.1995,null
100010,null,Lions,DST,DET,DST,DET,null,6.7725,null,null,null,20,null,null,0.0243,null,null,null,6.8431,6.3221,3.4618,null
100011,null,Packers,DST,GB,DST,GB,null,8.7385,null,null,null,3,null,null,0.353,null,null,null,8.685,7.7,3.2745,null
100012,null,Titans,DST,TEN,DST,TEN,null,5.8015,null,null,null,29,null,null,0.3179,null,null,null,6.4175,3.3,5.6923,null
100013,null,Texans,DST,HOU,DST,HOU,null,7.0557,null,null,null,14,null,null,0.0292,null,null,null,7.4859,6.3,3.3202,null
100014,null,Colts,DST,IND,DST,IND,null,6.8883,null,null,null,18,null,null,0.0649,null,null,null,6.76,5.9,4.4724,null
100015,null,Jaguars,DST,JAC,DST,JAC,null,6.9016,null,null,null,17,null,null,0.0204,null,null,null,7.2144,6,2.0602,null
100016,null,Chiefs,DST,KC,DST,KC,null,7.8233,null,null,null,9,null,null,0.2976,null,null,null,10.3593,4.2,7.3964,null
100017,null,Rams,DST,LA,DST,LA,null,10.4565,null,null,null,1,null,null,1.2106,null,null,null,12.0921,8.2,7.4775,null
100018,null,Raiders,DST,OAK,DST,OAK,null,6.8742,null,null,null,19,null,null,0.1125,null,null,null,7.69,4.6,4.9835,null
100019,null,Dolphins,DST,MIA,DST,MIA,null,8.0316,null,null,null,8,null,null,0.2697,null,null,null,12.3064,3,8.3799,null
100020,null,Vikings,DST,MIN,DST,MIN,null,8.1236,null,null,null,7,null,null,0.1961,null,null,null,12.3024,4.2,8.4883,null
100021,null,Patriots,DST,NE,DST,NE,null,7.045,null,null,null,15,null,null,0.0902,null,null,null,7.7779,6.2,2.6278,null
100022,null,Saints,DST,NO,DST,NO,null,6.2763,null,null,null,27,null,null,0.2564,null,null,null,6.2674,4,2.4727,null
100023,null,Giants,DST,NYG,DST,NYG,null,6.7455,null,null,null,22,null,null,0.1548,null,null,null,7.095,4.2642,6.2807,null
100024,null,Jets,DST,NYJ,DST,NYJ,null,6.6138,null,null,null,23,null,null,0.1363,null,null,null,7.9558,2.2642,6.7229,null
100025,null,Eagles,DST,PHI,DST,PHI,null,7.2582,null,null,null,13,null,null,0.2078,null,null,null,7.2431,4.2611,6.8135,null
100026,null,Cardinals,DST,ARI,DST,ARI,null,8.3375,null,null,null,5,null,null,0.1523,null,null,null,8.7294,4.2,4.9999,null
100027,null,Steelers,DST,PIT,DST,PIT,null,7.351,null,null,null,11,null,null,0.0707,null,null,null,7.793,4.2,4.2174,null
100028,null,Chargers,DST,SD,DST,SD,null,6.5676,null,null,null,24,null,null,0.2329,null,null,null,7.3895,4.9,5.5838,null
100029,null,49ers,DST,SF,DST,SF,null,5.2464,null,null,null,31,null,null,0.477,null,null,null,6.0012,3.8,9.2112,null
100030,null,Seahawks,DST,SEA,DST,SEA,null,7.7004,null,null,null,10,null,null,0.3737,null,null,null,8.265,6.3,0.36,null
100031,null,Buccaneers,DST,TB,DST,TB,null,7.3024,null,null,null,12,null,null,0.1455,null,null,null,7.3779,5.3,4.6291,null
100032,null,Redskins,DST,WAS,DST,WAS,null,6.2383,null,null,null,28,null,null,0.4772,null,null,null,7.265,3.3832,4.0879,null
163982,null,Will Johnson,RB,NYG,RB,NYG,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
238457,null,Zach Miller,TE,CHI,TE,CHI,null,9.1594,null,null,null,12,null,null,0.09,null,null,null,9.8504,6.3602,4.2036,null
238498,null,Julian Edelman,WR,NE,WR,NE,null,13.2836,null,null,null,30,null,null,0.135,null,null,null,13.9211,11.7769,4.7847,null
496812,null,Erik Lorig,RB,FA,RB,FA,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
497095,null,Sam Bradford,QB,MIN,QB,MIN,null,13.4648,null,null,null,27,null,null,1.0643,null,null,null,15.3626,11,6.59,null
497108,null,Jimmy Clausen,QB,FA,QB,FA,null,0,null,null,null,75,null,null,0,null,null,null,0,0,3.7081,null
497121,null,Thad Lewis,QB,SF,QB,SF,null,0,null,null,null,75,null,null,0,null,null,null,0,0,3.7081,null
497123,null,Colt McCoy,QB,WAS,QB,WAS,null,0.8897,null,null,null,44,null,null,0.2751,null,null,null,1.7554,0.118,5.286,null
497145,null,Joique Bell,RB,FA,RB,FA,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
497149,null,LeGarrette Blount,RB,NE,RB,NE,null,11.0587,null,null,null,26,null,null,0.2465,null,null,null,11.7578,8.0041,5.903,null
497172,null,Anthony Dixon,RB,FA,RB,FA,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
497174,null,Jonathan Dwyer,RB,FA,RB,FA,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
497176,null,Toby Gerhart,RB,FA,RB,FA,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
497188,null,Ryan Mathews,RB,PHI,RB,PHI,null,10.3176,null,null,null,30,null,null,0.2094,null,null,null,10.8976,8.5021,4.9391,null
497190,null,Dexter McCluster,RB,FA,RB,FA,null,3.329,null,null,null,77,null,null,0.0496,null,null,null,5.358,0,null,null
497204,null,C.J. Spiller,RB,NO,RB,NO,null,0,null,null,null,138,null,null,0,null,null,null,0,0,null,null
497206,null,James Starks,RB,GB,RB,GB,null,7.5783,null,null,null,45,null,null,0.1113,null,null,null,8.5024,6.303,3.7825,null
497218,null,Trindon Holliday,WR,FA,WR,FA,null,0,null,null,null,180,null,null,0,null,null,null,0,0,null,null
497224,null,Ed Dickson,TE,CAR,TE,CAR,null,4.1353,null,null,null,39,null,null,0.0957,null,null,null,6.1667,2.54,4.8759,null
497226,null,Jim Dray,TE,BUF,TE,BUF,null,0.5757,null,null,null,84,null,null,0.0273,null,null,null,0.684,0.33,null,null
497234,null,Garrett Graham,TE,DEN,TE,DEN,null,0,null,null,null,102,null,null,0,null,null,null,0,0,null,null
497236,null,Jimmy Graham,TE,SEA,TE,SEA,null,9.0642,null,null,null,14,null,null,0.0408,null,null,null,11.3648,6.92,null,null
497238,null,Jermaine Gresham,TE,ARI,TE,ARI,null,3.6203,null,null,null,45,null,null,0.1002,null,null,null,4.2771,2.69,4.5771,null
