playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
184,null,Donnie Avery,WR,FA,WR,FA,null,0,null,null,null,174,null,null,0,null,null,null,0,0,null,null
206,null,Andre Caldwell,WR,DET,WR,DET,null,0.296,null,null,null,160,null,null,0.0268,null,null,null,0.5751,0,3.8133,null
216,null,Fred Davis,TE,FA,TE,FA,null,0,null,null,null,92,null,null,0,null,null,null,0,0,null,null
222,null,Harry Douglas,WR,TEN,WR,TEN,null,1.0993,null,null,null,134,null,null,0.0292,null,null,null,2.4724,0,5.3678,null
230,null,Jerome Felton,RB,BUF,RB,BUF,null,0.3686,null,null,null,103,null,null,0.1138,null,null,null,0.643,0,null,null
234,null,Matt Forte,RB,NYJ,RB,NYJ,null,11.1393,null,null,null,22,null,null,0.2383,null,null,null,12.779,7.9305,null,null
252,null,Chad Henne,QB,JAC,QB,JAC,null,0.1498,null,null,null,55,null,null,0.0195,null,null,null,0.2226,0.074,3.7301,null
262,null,Chris Johnson,RB,ARI,RB,ARI,null,0,null,null,null,116,null,null,0,null,null,null,0,0,null,null
264,null,Josh Johnson,QB,NYG,QB,NYG,null,0,null,null,null,68,null,null,0,null,null,null,0,0,3.4214,null
310,null,Matt Ryan,QB,ATL,QB,ATL,null,20.6824,null,null,null,4,null,null,1.1277,null,null,null,22.0107,17.54,4.9094,null
318,null,Jerome Simpson,WR,FA,WR,FA,null,0,null,null,null,174,null,null,0,null,null,null,0,0,2.9266,null
324,null,Jacob Tamme,TE,ATL,TE,ATL,null,7.2178,null,null,null,21,null,null,0.2273,null,null,null,9.0366,4.5,3.5368,null
367,null,Matt Flynn,QB,NO,QB,NO,null,0,null,null,null,68,null,null,0,null,null,null,0,0,3.4214,null
382,null,Joe Flacco,QB,BAL,QB,BAL,null,16.6714,null,null,null,16,null,null,0.1591,null,null,null,18.1386,15.2523,6.955,null
768,null,Steve Johnson,WR,SD,WR,SD,null,0,null,null,null,174,null,null,0,null,null,null,0,0,2.9266,null
925,null,Jamaal Charles,RB,KC,RB,KC,null,11.8722,null,null,null,19,null,null,0.3535,null,null,null,14.4877,5.8114,null,null
927,null,Justin Forsett,RB,DET,RB,DET,null,4.39,null,null,null,53,null,null,0.0471,null,null,null,5.5705,3.01,4.8309,null
941,null,Ray Rice,RB,FA,RB,FA,null,0,null,null,null,116,null,null,0,null,null,null,0,0,null,null
1032,null,Jordy Nelson,WR,GB,WR,GB,null,18.3055,null,null,null,7,null,null,0.574,null,null,null,19.8941,15.34,4.5111,null
1060,null,Gary Barnidge,TE,CLE,TE,CLE,null,9.2277,null,null,null,16,null,null,0.9552,null,null,null,10.2843,7.83,3.8789,null
1062,null,Martellus Bennett,TE,NE,TE,NE,null,10.1674,null,null,null,13,null,null,0.4247,null,null,null,12.3019,6.5576,null,null
1581,null,DeSean Jackson,WR,WAS,WR,WAS,null,13.0643,null,null,null,29,null,null,0.1243,null,null,null,15.8853,8.8654,9.8327,null
1966,null,John Carlson,TE,FA,TE,FA,null,0,null,null,null,92,null,null,0,null,null,null,0,0,null,null
1990,null,Eddie Royal,WR,CHI,WR,CHI,null,2.2234,null,null,null,114,null,null,0.1896,null,null,null,4.5997,0,10.2221,null
1992,null,Craig Stevens,TE,FA,TE,FA,null,0,null,null,null,92,null,null,0,null,null,null,0,0,null,null
2346,null,Pierre Garcon,WR,WAS,WR,WAS,null,12.1933,null,null,null,35,null,null,0.4499,null,null,null,14.9329,9.5,7.7403,null
2649,null,Danny Amendola,WR,NE,WR,NE,null,6.2595,null,null,null,78,null,null,0.0633,null,null,null,7.4463,3.3958,5.8015,null
4231,null,Jed Collins,RB,FA,RB,FA,null,0,null,null,null,116,null,null,0,null,null,null,0,0,null,null
4327,null,Danny Woodhead,RB,SD,RB,SD,null,0,null,null,null,116,null,null,0,null,null,null,0,0,null,null
4383,null,Tim Hightower,RB,NO,RB,NO,null,3.0987,null,null,null,70,null,null,0.2248,null,null,null,4.7776,0.9679,4.9031,null
4433,null,Marcel Reece,RB,FA,RB,FA,null,0,null,null,null,116,null,null,0,null,null,null,0,0,null,null
4487,null,Matthew Slater,WR,NE,WR,NE,null,0.0596,null,null,null,172,null,null,0.0363,null,null,null,0.0915,0,3.0146,null
71217,null,Kenny Britt,WR,LA,WR,LA,null,13.6095,null,null,null,26,null,null,0.2291,null,null,null,17.5879,9.03,7.5963,null
71247,null,James Casey,TE,FA,TE,FA,null,0,null,null,null,92,null,null,0,null,null,null,0,0,null,null
71255,null,Chase Coffman,TE,IND,TE,IND,null,0.276,null,null,null,84,null,null,0.0356,null,null,null,0.6065,0,null,null
71265,null,Jared Cook,TE,GB,TE,GB,null,0,null,null,null,92,null,null,0,null,null,null,0,0,null,null
71269,null,Michael Crabtree,WR,OAK,WR,OAK,null,14.996,null,null,null,17,null,null,0.4664,null,null,null,17.4482,11.41,5.8611,null
71345,null,Rashad Jennings,RB,NYG,RB,NYG,null,10.1621,null,null,null,28,null,null,0.0606,null,null,null,11.095,6.4,null,null
71417,null,Jordan Norwood,WR,DEN,WR,DEN,null,4.5664,null,null,null,94,null,null,0.3119,null,null,null,6.9535,2.55,6.8273,null
71431,null,Brandon Pettigrew,TE,DET,TE,DET,null,0.3733,null,null,null,79,null,null,0.0139,null,null,null,0.6201,0,null,null
71435,null,John Phillips,TE,DEN,TE,DEN,null,1.4877,null,null,null,61,null,null,0.0634,null,null,null,2.2851,0.37,4.4491,null
79555,null,Arian Foster,RB,MIA,RB,MIA,null,6.5261,null,null,null,46,null,null,0.0929,null,null,null,7.6561,4.2717,null,null
79557,null,Josh Freeman,QB,FA,QB,FA,null,0,null,null,null,68,null,null,0,null,null,null,0,0,3.4214,null
79563,null,Shonn Greene,RB,FA,RB,FA,null,0,null,null,null,116,null,null,0,null,null,null,0,0,null,null
79589,null,David Johnson,TE,PIT,TE,PIT,null,0.6266,null,null,null,69,null,null,0.03,null,null,null,0.742,0.48,4.4491,null
79607,null,LeSean McCoy,RB,BUF,RB,BUF,null,9.1047,null,null,null,36,null,null,0.1574,null,null,null,12.6123,0.9,null,null
79619,null,Knowshon Moreno,RB,FA,RB,FA,null,0,null,null,null,116,null,null,0,null,null,null,0,0,null,null
79625,null,Bear Pascoe,TE,NE,TE,NE,null,0,null,null,null,92,null,null,0,null,null,null,0,0,null,null
79629,null,Cedric Peerman,RB,CIN,RB,CIN,null,0,null,null,null,116,null,null,0,null,null,null,0,0,null,null
79860,null,Matthew Stafford,QB,DET,QB,DET,null,19.6016,null,null,null,5,null,null,0.3027,null,null,null,20.9788,17.97,7.0946,null
80425,null,Percy Harvin,WR,FA,WR,FA,null,0,null,null,null,174,null,null,0,null,null,null,0,0,null,null
80427,null,Darrius Heyward-Bey,WR,PIT,WR,PIT,null,3.6555,null,null,null,101,null,null,0.2475,null,null,null,5.945,1.45,7.9063,null
80429,null,Jeremy Maclin,WR,KC,WR,KC,null,14.4357,null,null,null,20,null,null,0.1064,null,null,null,15.7064,12.0912,5.0551,null
80670,null,Louis Murphy,WR,TB,WR,TB,null,0.576,null,null,null,151,null,null,0.0071,null,null,null,1.2593,0,4.9626,null
80672,null,Hakeem Nicks,WR,FA,WR,FA,null,0,null,null,null,174,null,null,0,null,null,null,0,0,null,null
80674,null,Chris Ogbonnaya,RB,FA,RB,FA,null,0,null,null,null,116,null,null,0,null,null,null,0,0,null,null
81284,null,Chase Daniel,QB,PHI,QB,PHI,null,0.0964,null,null,null,60,null,null,0.0091,null,null,null,0.2162,-0.014,3.8394,null
81288,null,Brandon Gibson,WR,NE,WR,NE,null,0.2632,null,null,null,163,null,null,0.0426,null,null,null,0.5424,0,3.7032,null
81294,null,Brian Hoyer,QB,CHI,QB,CHI,null,16.0987,null,null,null,19,null,null,0.6264,null,null,null,18.6523,12.63,11.1921,null
81306,null,Brandon Tate,WR,BUF,WR,BUF,null,3.3436,null,null,null,103,null,null,0.2199,null,null,null,4.1429,1.5048,8.0306,null
81831,null,Brian Hartline,WR,FA,WR,FA,null,0,null,null,null,174,null,null,0,null,null,null,0,0,2.9266,null
89766,null,Brandon Myers,TE,TB,TE,TB,null,3.4755,null,null,null,42,null,null,0.2545,null,null,null,6.495,0.58,6.1598,null
89798,null,Antone Smith,RB,TB,RB,TB,null,1.9507,null,null,null,79,null,null,0.1292,null,null,null,2.5287,0.7885,6.1305,null
100001,null,Falcons,DST,ATL,DST,ATL,null,6.0626,null,null,null,19,null,null,0.0663,null,null,null,6.1709,4.2,5.1922,null
100002,null,Ravens,DST,BAL,DST,BAL,null,7.7962,null,null,null,10,null,null,0.2542,null,null,null,7.8716,7,2.7875,null
100003,null,Bills,DST,BUF,DST,BUF,null,9.1123,null,null,null,3,null,null,0.396,null,null,null,12.9031,5.2,8.9358,null
100005,null,Bears,DST,CHI,DST,CHI,null,5.525,null,null,null,26,null,null,0.3975,null,null,null,6.093,2.2,7.0442,null
100006,null,Bengals,DST,CIN,DST,CIN,null,8.6615,null,null,null,5,null,null,0.2287,null,null,null,11.3702,5,7.7626,null
100007,null,Browns,DST,CLE,DST,CLE,null,5.7672,null,null,null,23,null,null,0.1279,null,null,null,5.83,4.2,3.0494,null
100009,null,Broncos,DST,DEN,DST,DEN,null,10.8341,null,null,null,1,null,null,1.0056,null,null,null,12.3617,8.7,2.0181,null
100010,null,Lions,DST,DET,DST,DET,null,6.053,null,null,null,20,null,null,0.1695,null,null,null,6.4289,3.3,3.6028,null
100011,null,Packers,DST,GB,DST,GB,null,7.6002,null,null,null,11,null,null,0.2075,null,null,null,7.7716,7.2,2.8862,null
100012,null,Titans,DST,TEN,DST,TEN,null,8.0129,null,null,null,8,null,null,0.1891,null,null,null,8.4709,4.2642,7.4784,null
100013,null,Texans,DST,HOU,DST,HOU,null,8.5329,null,null,null,6,null,null,0.3601,null,null,null,10.8146,5.5,8.1206,null
100014,null,Colts,DST,IND,DST,IND,null,5.8273,null,null,null,22,null,null,0.1217,null,null,null,6.5779,2.8,5.6215,null
100015,null,Jaguars,DST,JAC,DST,JAC,null,4.1949,null,null,null,29,null,null,1.1949,null,null,null,5.825,2.4,5.8128,null
100016,null,Chiefs,DST,KC,DST,KC,null,7.2136,null,null,null,14,null,null,0.3661,null,null,null,7.955,1.2,7.5442,null
100017,null,Rams,DST,LA,DST,LA,null,3,null,null,null,30,null,null,null,null,null,null,3,3,3.1248,null
100018,null,Raiders,DST,OAK,DST,OAK,null,7.3014,null,null,null,13,null,null,0.1902,null,null,null,8.2151,5.7,5.3629,null
100019,null,Dolphins,DST,MIA,DST,MIA,null,5.6344,null,null,null,25,null,null,0.2102,null,null,null,6.3186,3.8,7.1889,null
100020,null,Vikings,DST,MIN,DST,MIN,null,8.771,null,null,null,4,null,null,0.1738,null,null,null,9.9725,7.2,1.9603,null
100021,null,Patriots,DST,NE,DST,NE,null,7.4839,null,null,null,12,null,null,0.2264,null,null,null,8.0441,5.6,2.0788,null
100022,null,Saints,DST,NO,DST,NO,null,5.6441,null,null,null,24,null,null,0.0644,null,null,null,6.6779,1.2,4.4537,null
100023,null,Giants,DST,NYG,DST,NYG,null,6.3796,null,null,null,17,null,null,0.2394,null,null,null,6.9392,4.4,5.3832,null
100024,null,Jets,DST,NYJ,DST,NYJ,null,5.9397,null,null,null,21,null,null,0.1424,null,null,null,6.7683,3.9,5.5118,null
100025,null,Eagles,DST,PHI,DST,PHI,null,7.8514,null,null,null,9,null,null,0.1532,null,null,null,8.1405,6.2,4.1881,null
100026,null,Cardinals,DST,ARI,DST,ARI,null,10.5447,null,null,null,2,null,null,1.6031,null,null,null,12.0637,8.5,4.2343,null
