playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
79589,null,David Johnson,TE,PIT,TE,PIT,null,0.5387,null,null,null,85,null,null,0.0092,null,null,null,0.7571,0.18,4.8418,null
79607,null,LeSean McCoy,RB,BUF,RB,BUF,null,15.1531,null,null,null,10,null,null,0.3793,null,null,null,17.3694,10.78,null,null
79619,null,Knowshon Moreno,RB,FA,RB,FA,null,0,null,null,null,132,null,null,0,null,null,null,0,0,null,null
79625,null,Bear Pascoe,TE,NE,TE,NE,null,0,null,null,null,103,null,null,0,null,null,null,0,0,3.287,null
79629,null,Cedric Peerman,RB,CIN,RB,CIN,null,0,null,null,null,132,null,null,0,null,null,null,0,0,null,null
79858,null,Mark Sanchez,QB,DAL,QB,DAL,null,1.2407,null,null,null,44,null,null,0.4505,null,null,null,2.0643,0.192,4.5245,null
79860,null,Matthew Stafford,QB,DET,QB,DET,null,17.5953,null,null,null,9,null,null,0.5004,null,null,null,19.2125,15.66,5.3743,null
80425,null,Percy Harvin,WR,FA,WR,FA,null,0,null,null,null,188,null,null,0,null,null,null,0,0,null,null
80427,null,Darrius Heyward-Bey,WR,PIT,WR,PIT,null,4.0978,null,null,null,105,null,null,0.2039,null,null,null,5.9981,1.86,5.897,null
80429,null,Jeremy Maclin,WR,KC,WR,KC,null,3.9453,null,null,null,106,null,null,0.1663,null,null,null,7.2953,-0.045,8.8458,null
80670,null,Louis Murphy,WR,TB,WR,TB,null,0,null,null,null,188,null,null,0,null,null,null,0,0,3.4371,null
80672,null,Hakeem Nicks,WR,FA,WR,FA,null,0,null,null,null,188,null,null,0,null,null,null,0,0,null,null
80674,null,Chris Ogbonnaya,RB,FA,RB,FA,null,0,null,null,null,132,null,null,0,null,null,null,0,0,null,null
81284,null,Chase Daniel,QB,PHI,QB,PHI,null,0.0656,null,null,null,70,null,null,0.0309,null,null,null,0.1345,-0.01,3.9282,null
81288,null,Brandon Gibson,WR,NE,WR,NE,null,0.2446,null,null,null,176,null,null,0.0349,null,null,null,0.5079,0,3.7987,null
81294,null,Brian Hoyer,QB,CHI,QB,CHI,null,13.6059,null,null,null,25,null,null,0.6006,null,null,null,17.7715,3.866,6.6619,null
81306,null,Brandon Tate,WR,BUF,WR,BUF,null,1.3484,null,null,null,146,null,null,0.1595,null,null,null,2.4317,0.16,4.9236,null
81831,null,Brian Hartline,WR,FA,WR,FA,null,0,null,null,null,188,null,null,0,null,null,null,0,0,3.4371,null
89766,null,Brandon Myers,TE,TB,TE,TB,null,1.8209,null,null,null,59,null,null,0.0208,null,null,null,3.1394,0.58,5.8692,null
89798,null,Antone Smith,RB,NYJ,RB,NYJ,null,0,null,null,null,132,null,null,0,null,null,null,0,0,null,null
100001,null,Falcons,DST,ATL,DST,ATL,null,5.8139,null,null,null,24,null,null,0.0747,null,null,null,6.4965,3.6,4.979,null
100002,null,Ravens,DST,BAL,DST,BAL,null,5.7784,null,null,null,25,null,null,0.0934,null,null,null,7.5267,4.2642,4.2116,null
100003,null,Bills,DST,BUF,DST,BUF,null,6.9297,null,null,null,13,null,null,0.2217,null,null,null,7.3779,5.5,3.4045,null
100004,null,Panthers,DST,CAR,DST,CAR,null,9.5941,null,null,null,4,null,null,0.5058,null,null,null,10.7801,7,4.3015,null
100005,null,Bears,DST,CHI,DST,CHI,null,6.422,null,null,null,19,null,null,0.1353,null,null,null,6.7965,5.5,5.6226,null
100006,null,Bengals,DST,CIN,DST,CIN,null,6.3848,null,null,null,20,null,null,0.2404,null,null,null,6.465,5.8,3.5597,null
100007,null,Browns,DST,CLE,DST,CLE,null,4.4604,null,null,null,32,null,null,null,null,null,null,5.03,2.2,1.9805,null
100008,null,Cowboys,DST,DAL,DST,DAL,null,5.0226,null,null,null,31,null,null,0.5623,null,null,null,5.193,4.3221,3.6347,null
100009,null,Broncos,DST,DEN,DST,DEN,null,7.6532,null,null,null,8,null,null,0.4252,null,null,null,8.9337,4.2,4.3337,null
100010,null,Lions,DST,DET,DST,DET,null,6.4638,null,null,null,17,null,null,0.0378,null,null,null,7.0144,4.3221,5.0631,null
100011,null,Packers,DST,GB,DST,GB,null,6.9966,null,null,null,12,null,null,0.1611,null,null,null,8.4006,4.2,4.2954,null
100012,null,Titans,DST,TEN,DST,TEN,null,5.6699,null,null,null,27,null,null,0.226,null,null,null,6.4081,3.3,4.466,null
100013,null,Texans,DST,HOU,DST,HOU,null,7.911,null,null,null,7,null,null,0.4107,null,null,null,7.5716,7.2,3.485,null
