"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"ELEGPUS","197602","156.684","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197603","164.174","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197604","153.167","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197605","157.37","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197606","173.392","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197607","186.434","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197608","186.403","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197609","165.035","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197610","163.746","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197611","169.085","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197612","183.877","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197613","2037.696","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197701","196.372","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197702","162.734","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197703","169.157","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197704","156.853","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197705","169.332","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197706","180.787","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197707","198.93","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197708","196.126","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197709","176.265","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197710","166.402","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197711","167.099","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197712","184.267","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197713","2124.323","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197801","197.835","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197802","173.504","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197803","173.193","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197804","159.738","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197805","175.236","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197806","188.312","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197807","202.682","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197808","206.418","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197809","185.572","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197810","175.802","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197811","176.172","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197812","191.865","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197813","2206.331","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197901","209.692","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197902","186.337","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197903","182.849","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197904","169.962","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197905","178.069","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197906","186.682","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197907","202.255","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197908","204.85","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197909","180.751","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197910","179.716","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197911","177.506","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197912","188.703","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","197913","2247.372","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198001","200.005","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198002","188.715","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198003","187.464","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198004","168.72","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198005","175.734","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198006","189.43","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198007","216.776","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198008","215.393","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198009","191.485","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198010","178.555","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198011","178.55","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198012","195.613","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198013","2286.439","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198101","206.467","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198102","179.613","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198103","185.553","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198104","172.545","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198105","177.806","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198106","202.702","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198107","220.373","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198108","210.403","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198109","186.838","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198110","181.352","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198111","175.57","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198112","195.59","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198113","2294.812","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198201","209.403","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198202","180.299","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198203","187.687","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198204","172.58","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198205","177.147","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198206","186.128","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198207","210.584","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198208","205.656","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198209","180.662","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198210","172.966","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198211","173.377","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198212","184.722","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198213","2241.211","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198301","195.579","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198302","172.479","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198303","182.488","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
"ELEGPUS","198304","170.372","1","Electricity Net Generation, Electric Power Sector","Billion Kilowatthours"
